2021-12-30 20:39:47.963531 +0000 UTC,47468.20750000004,47468.33,0.001240
2021-12-30 20:39:48.021323 +0000 UTC,47468.20927536236,47468.33,0.001256
2021-12-30 20:39:48.073228 +0000 UTC,47468.21100000004,47468.33,0.001270
2021-12-30 20:39:48.07737 +0000 UTC,47468.21267605638,47468.33,0.001271
2021-12-30 20:39:48.362392 +0000 UTC,47468.21430555559,47468.33,0.001350
2021-12-30 20:39:48.393004 +0000 UTC,47468.215890411004,47468.33,0.001359
2021-12-30 20:39:48.823201 +0000 UTC,47468.21743243247,47468.33,0.001478
2021-12-30 20:39:48.955853 +0000 UTC,47468.21893333337,47468.33,0.001515
2021-12-30 20:39:49.033985 +0000 UTC,47468.22039473688,47468.33,0.001537
2021-12-30 20:39:49.077305 +0000 UTC,47468.22181818186,47468.33,0.001549
2021-12-30 20:39:49.243166 +0000 UTC,47468.22320512825,47468.33,0.001595
2021-12-30 20:39:49.375873 +0000 UTC,47468.22455696207,47468.33,0.001632
2021-12-30 20:39:49.383239 +0000 UTC,47468.22587500005,47468.33,0.001634
2021-12-30 20:39:49.662809 +0000 UTC,47468.22716049387,47468.33,0.001712
2021-12-30 20:39:49.922309 +0000 UTC,47468.22841463419,47468.33,0.001784
2021-12-30 20:39:49.922309 +0000 UTC,47468.229638554265,47468.33,0.001784
2021-12-30 20:39:50.416664 +0000 UTC,47468.31976190481,47475.8,0.001921
2021-12-30 20:39:50.761543 +0000 UTC,47468.407764705924,47475.8,0.002017
2021-12-30 20:39:50.958254 +0000 UTC,47468.49372093027,47475.8,0.002072
2021-12-30 20:39:51.077332 +0000 UTC,47468.577816091994,47475.81,0.002105
2021-12-30 20:39:51.077332 +0000 UTC,47468.73500000004,47482.41,0.002105
2021-12-30 20:39:51.144134 +0000 UTC,47468.88853932588,47482.4,0.002123
2021-12-30 20:39:51.206722 +0000 UTC,47469.03877777782,47482.41,0.002141
2021-12-30 20:39:51.848884 +0000 UTC,47469.14516483521,47478.72,0.002319
2021-12-30 20:39:51.852449 +0000 UTC,47469.26619565221,47480.28,0.002320
2021-12-30 20:39:52.014584 +0000 UTC,47469.367849462404,47478.72,0.002365
2021-12-30 20:39:52.014584 +0000 UTC,47469.46734042557,47478.72,0.002365
2021-12-30 20:39:52.014584 +0000 UTC,47469.56473684214,47478.72,0.002365
2021-12-30 20:39:52.134139 +0000 UTC,47469.6429166667,47477.07,0.002398
2021-12-30 20:39:52.188845 +0000 UTC,47469.72670103096,47477.77,0.002413
2021-12-30 20:39:52.31075 +0000 UTC,47469.80775510207,47477.67,0.002447
2021-12-30 20:39:52.405132 +0000 UTC,47469.8871717172,47477.67,0.002473
2021-12-30 20:39:52.684609 +0000 UTC,47469.963900000024,47477.56,0.002551
2021-12-30 20:39:52.954689 +0000 UTC,47470.0375247525,47477.4,0.002626
2021-12-30 20:39:52.954689 +0000 UTC,47470.11019607846,47477.45,0.002626
2021-12-30 20:39:53.385414 +0000 UTC,47470.22708737868,47482.15,0.002746
2021-12-30 20:39:53.470373 +0000 UTC,47470.341730769265,47482.15,0.002769
2021-12-30 20:39:53.674176 +0000 UTC,47470.45419047623,47482.15,0.002826
2021-12-30 20:39:54.031452 +0000 UTC,47470.56094339626,47481.77,0.002925
2021-12-30 20:39:54.838507 +0000 UTC,47470.69878504676,47485.31,0.003149
2021-12-30 20:39:55.051314 +0000 UTC,47470.83268518522,47485.16,0.003208
2021-12-30 20:39:55.829656 +0000 UTC,47470.9317431193,47481.63,0.003425
2021-12-30 20:39:55.928678 +0000 UTC,47471.05000000003,47483.94,0.003452
2021-12-30 20:39:56.550215 +0000 UTC,47471.13567567571,47480.56,0.003625
2021-12-30 20:39:56.58105 +0000 UTC,47471.240535714314,47482.88,0.003633
2021-12-30 20:39:56.688574 +0000 UTC,47471.34070796463,47482.56,0.003663
2021-12-30 20:39:56.688574 +0000 UTC,47471.43921052634,47482.57,0.003663
2021-12-30 20:39:56.90816 +0000 UTC,47471.52765217394,47481.61,0.003724
2021-12-30 20:39:57.672468 +0000 UTC,47471.636637931064,47484.17,0.003937
2021-12-30 20:39:57.719361 +0000 UTC,47471.74376068379,47484.17,0.003950
2021-12-30 20:39:57.957468 +0000 UTC,47471.853559322066,47484.7,0.004016
